INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,SE,FLAG
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 65-74 years,3.21,2008,9,65-74 years,1.41,58.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 65-74 years,3.21,2009,10,65-74 years,1.41,41.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 65-74 years,3.21,2010,11,65-74 years,1.41,54.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 65-74 years,3.21,2011,12,65-74 years,1.41,60.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2000,1,75 years and over,1.42,49.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2001,2,75 years and over,1.42,40.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2002,3,75 years and over,1.42,38.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2003,4,75 years and over,1.42,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2004,5,75 years and over,1.42,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2005,6,75 years and over,1.42,42.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2006,7,75 years and over,1.42,45.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2007,8,75 years and over,1.42,39.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2008,9,75 years and over,1.42,47.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2009,10,75 years and over,1.42,43.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2010,11,75 years and over,1.42,53.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Sex and age,3,Female: 75 years and over,3.22,2011,12,75 years and over,1.42,61.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2000,1,All ages,0.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2001,2,All ages,0.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2002,3,All ages,0.1,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2003,4,All ages,0.1,30.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2004,5,All ages,0.1,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2005,6,All ages,0.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2006,7,All ages,0.1,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2007,8,All ages,0.1,26.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2008,9,All ages,0.1,33.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2009,10,All ages,0.1,29.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2010,11,All ages,0.1,32.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,White,4.1,2011,12,All ages,0.1,38.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2000,1,All ages,0.1,48.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2001,2,All ages,0.1,49.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2002,3,All ages,0.1,53.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2003,4,All ages,0.1,60.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2004,5,All ages,0.1,50.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2005,6,All ages,0.1,57.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2006,7,All ages,0.1,64.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2007,8,All ages,0.1,58.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2008,9,All ages,0.1,68.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2009,10,All ages,0.1,58.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2010,11,All ages,0.1,50.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race,4,Black or African American,4.3,2011,12,All ages,0.1,68.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2000,1,Under 18 years,1.1,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2001,2,Under 18 years,1.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2002,3,Under 18 years,1.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2003,4,Under 18 years,1.1,32.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2004,5,Under 18 years,1.1,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2005,6,Under 18 years,1.1,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2006,7,Under 18 years,1.1,30.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2007,8,Under 18 years,1.1,23.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2001,2,45-54 years,1.31,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2008,9,Under 18 years,1.1,32.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2009,10,Under 18 years,1.1,29.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2010,11,Under 18 years,1.1,33.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: Under 18 years,5.11,2011,12,Under 18 years,1.1,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2000,1,18-44 years,1.2,23.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2001,2,18-44 years,1.2,23.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2002,3,18-44 years,1.2,23.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2003,4,18-44 years,1.2,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2004,5,18-44 years,1.2,23.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2005,6,18-44 years,1.2,24.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2006,7,18-44 years,1.2,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2007,8,18-44 years,1.2,24.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2008,9,18-44 years,1.2,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2009,10,18-44 years,1.2,24.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2010,11,18-44 years,1.2,25.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 18-44 years,5.12,2011,12,18-44 years,1.2,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2000,1,45-54 years,1.31,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2002,3,45-54 years,1.31,27.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2003,4,45-54 years,1.31,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2004,5,45-54 years,1.31,26.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2005,6,45-54 years,1.31,26.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2006,7,45-54 years,1.31,32.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2007,8,45-54 years,1.31,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2008,9,45-54 years,1.31,32.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2009,10,45-54 years,1.31,30.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2010,11,45-54 years,1.31,28.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 45-54 years,5.13,2011,12,45-54 years,1.31,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2000,1,55-64 years,1.32,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2001,2,55-64 years,1.32,34.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2002,3,55-64 years,1.32,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2003,4,55-64 years,1.32,33.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2004,5,55-64 years,1.32,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2005,6,55-64 years,1.32,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2006,7,55-64 years,1.32,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2007,8,55-64 years,1.32,30.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2008,9,55-64 years,1.32,38.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2009,10,55-64 years,1.32,34.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2010,11,55-64 years,1.32,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 55-64 years,5.14,2011,12,55-64 years,1.32,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2000,1,65-74 years,1.41,38.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2001,2,65-74 years,1.41,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2002,3,65-74 years,1.41,30.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2003,4,65-74 years,1.41,35.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2004,5,65-74 years,1.41,35.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2005,6,65-74 years,1.41,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2006,7,65-74 years,1.41,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2007,8,65-74 years,1.41,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2008,9,65-74 years,1.41,47.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2009,10,65-74 years,1.41,35.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2010,11,65-74 years,1.41,48.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 65-74 years,5.15,2011,12,65-74 years,1.41,49.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2000,1,75 years and over,1.42,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2001,2,75 years and over,1.42,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2002,3,75 years and over,1.42,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2003,4,75 years and over,1.42,35.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2004,5,75 years and over,1.42,33.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2005,6,75 years and over,1.42,35.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2006,7,75 years and over,1.42,41.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2007,8,75 years and over,1.42,31.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2008,9,75 years and over,1.42,46.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2009,10,75 years and over,1.42,36.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2010,11,75 years and over,1.42,52.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,White: 75 years and over,5.16,2011,12,75 years and over,1.42,52.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2000,1,Under 18 years,1.1,40.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2001,2,Under 18 years,1.1,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2002,3,Under 18 years,1.1,46.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2003,4,Under 18 years,1.1,55.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2004,5,Under 18 years,1.1,42.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2005,6,Under 18 years,1.1,54.0,,*
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2006,7,Under 18 years,1.1,49.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2007,8,Under 18 years,1.1,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2008,9,Under 18 years,1.1,61.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2009,10,Under 18 years,1.1,42.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2010,11,Under 18 years,1.1,48.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: Under 18 years,5.17,2011,12,Under 18 years,1.1,50.0,,*
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2000,1,18-44 years,1.2,40.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2001,2,18-44 years,1.2,41.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2002,3,18-44 years,1.2,46.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2003,4,18-44 years,1.2,54.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2004,5,18-44 years,1.2,44.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2005,6,18-44 years,1.2,46.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2006,7,18-44 years,1.2,59.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2007,8,18-44 years,1.2,52.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2008,9,18-44 years,1.2,55.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2009,10,18-44 years,1.2,50.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2010,11,18-44 years,1.2,37.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 18-44 years,5.18,2011,12,18-44 years,1.2,55.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Hospital outpatient department,3,"Number of visits per 100 persons, crude",3,Race and age,5,Black or African American: 45-54 years,5.19,2000,1,45-54 years,1.31,61.0,,
